<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20110805,000000,408.3000000,425.0000000,408.2700000,415.0000000,51820
MTLRP,D,20110808,000000,410.0100000,410.0100000,380.0000000,380.0000000,24860
MTLRP,D,20110809,000000,380.0000000,395.0000000,350.0000000,394.9800000,19330
MTLRP,D,20110810,000000,403.0000000,409.9900000,375.7500000,382.0000000,192690
MTLRP,D,20110811,000000,390.0000000,390.0000000,333.0100000,370.0000000,52000
MTLRP,D,20110812,000000,380.0000000,381.0000000,360.0000000,370.0000000,175700
MTLRP,D,20110815,000000,387.0000000,387.0000000,370.0000000,377.0000000,23180
MTLRP,D,20110816,000000,367.0000000,379.0000000,367.0000000,379.0000000,7210
MTLRP,D,20110817,000000,379.9900000,380.0000000,374.9900000,375.0100000,100600
MTLRP,D,20110818,000000,375.0000000,375.0000000,368.0000000,368.0000000,16020
MTLRP,D,20110819,000000,363.0000000,365.0000000,360.0000000,360.0000000,6270
MTLRP,D,20110822,000000,360.0000000,370.0000000,360.0000000,370.0000000,7300
MTLRP,D,20110823,000000,376.5000000,377.0000000,368.0100000,368.0100000,3950
MTLRP,D,20110824,000000,371.9000000,371.9000000,348.1700000,350.0000000,17660
MTLRP,D,20110825,000000,354.9000000,359.0000000,335.0000000,335.0000000,40630
MTLRP,D,20110826,000000,335.0000000,344.0000000,334.8900000,336.0000000,9750
MTLRP,D,20110829,000000,348.0000000,349.5000000,333.0600000,343.0000000,124170
MTLRP,D,20110830,000000,343.5000000,345.0000000,338.7000000,342.0000000,20130
MTLRP,D,20110831,000000,345.5000000,355.0000000,342.1100000,353.0000000,63340
MTLRP,D,20110901,000000,365.0000000,369.0000000,348.2100000,354.7400000,140970
MTLRP,D,20110902,000000,342.0400000,364.0000000,342.0400000,351.7500000,16760
MTLRP,D,20110905,000000,352.0000000,352.0000000,342.0000000,347.9900000,6380
MTLRP,D,20110906,000000,347.0000000,350.0000000,344.9600000,349.9900000,1830
MTLRP,D,20110907,000000,349.9900000,358.9000000,348.0000000,352.3000000,89230
MTLRP,D,20110908,000000,352.3000000,355.0000000,347.7000000,348.0000000,44670
MTLRP,D,20110909,000000,349.0000000,349.0000000,339.9800000,341.0000000,93200
MTLRP,D,20110912,000000,341.0000000,341.0000000,315.0100000,324.8500000,124730
MTLRP,D,20110913,000000,330.0000000,330.0000000,310.0500000,312.0000000,41170
MTLRP,D,20110914,000000,313.0000000,323.9500000,310.0000000,318.0000000,29090
MTLRP,D,20110915,000000,325.9600000,328.9900000,319.0000000,327.9600000,39340
MTLRP,D,20110916,000000,330.0000000,331.0000000,320.3500000,330.0000000,23990
MTLRP,D,20110919,000000,329.0000000,329.5000000,320.0000000,320.4800000,4580
MTLRP,D,20110920,000000,329.7000000,329.7000000,321.6100000,328.9900000,13660
MTLRP,D,20110921,000000,329.7000000,329.7000000,318.0000000,318.9900000,24550
MTLRP,D,20110922,000000,315.0200000,315.0200000,287.2500000,291.0200000,55060
MTLRP,D,20110923,000000,291.1800000,295.0000000,270.0000000,275.0000000,55320
MTLRP,D,20110926,000000,266.6700000,278.9500000,266.6700000,270.0000000,14330
MTLRP,D,20110927,000000,275.5100000,279.0000000,270.0000000,275.9500000,82370
MTLRP,D,20110928,000000,274.9900000,275.0000000,268.0000000,271.8900000,270900
MTLRP,D,20110929,000000,270.7000000,271.0000000,255.5700000,267.7800000,97480
MTLRP,D,20110930,000000,268.4900000,268.4900000,245.6200000,250.9900000,235860
MTLRP,D,20111003,000000,245.2100000,246.8600000,228.6300000,229.7900000,137960
MTLRP,D,20111004,000000,229.0000000,232.9900000,218.2000000,220.0000000,82580
MTLRP,D,20111005,000000,229.7900000,229.7900000,217.5000000,219.5000000,92180
MTLRP,D,20111006,000000,220.0000000,234.0000000,219.9900000,233.9800000,123640
MTLRP,D,20111007,000000,235.0000000,249.4000000,235.0000000,248.5000000,98030
