<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20000601,000000,1112.0000000,1185.0000000,1112.0000000,1180.0000000,12261
SBER,D,20000602,000000,1190.0000000,1260.0000000,1166.0000000,1250.0000000,16377
SBER,D,20000605,000000,1251.0000000,1266.0000000,1191.1000000,1211.0000000,30724
SBER,D,20000606,000000,1200.0000000,1214.0000000,1123.0000000,1129.0000000,18110
SBER,D,20000607,000000,1111.1000000,1188.0000000,1090.0000000,1185.0000000,23418
SBER,D,20000608,000000,1235.0000000,1240.0000000,1200.0000000,1200.0000000,19000
SBER,D,20000609,000000,1200.0000000,1248.0000000,1194.0000000,1222.0000000,22948
SBER,D,20000613,000000,1201.0000000,1218.0000000,1181.0100000,1190.0000000,9932
SBER,D,20000614,000000,1170.0000000,1183.0000000,1130.2200000,1170.0000000,10108
SBER,D,20000615,000000,1161.0100000,1177.0000000,1125.0000000,1133.0000000,15348
SBER,D,20000616,000000,1150.1000000,1163.9000000,1135.0000000,1140.0000000,5342
SBER,D,20000619,000000,1130.0000000,1145.0000000,1085.0000000,1094.0000000,11813
SBER,D,20000620,000000,1118.0000000,1118.0000000,1035.0000000,1049.0000000,11491
SBER,D,20000621,000000,1060.0000000,1079.8000000,976.0000000,1013.0000000,17735
SBER,D,20000622,000000,1030.0000000,1054.0000000,1010.0000000,1036.0100000,12906
SBER,D,20000623,000000,1035.0000000,1044.0000000,1005.0300000,1030.0000000,5603
SBER,D,20000626,000000,1010.0000000,1033.0000000,1006.0000000,1010.0000000,5264
SBER,D,20000627,000000,1003.0000000,1010.0000000,933.0000000,936.0000000,14072
SBER,D,20000628,000000,930.0000000,969.0000000,899.0000000,954.9000000,12541
SBER,D,20000629,000000,955.0000000,955.0000000,871.0000000,882.0000000,14169
SBER,D,20000630,000000,905.1000000,975.0000000,905.1000000,975.0000000,15942
SBER,D,20000703,000000,980.0000000,1079.0000000,980.0000000,1079.0000000,24007
SBER,D,20000704,000000,1090.0000000,1120.0000000,1085.0000000,1102.5000000,10569
SBER,D,20000705,000000,1080.0000000,1116.0000000,1062.0200000,1101.0000000,29295
SBER,D,20000706,000000,1083.0000000,1299.0000000,1083.0000000,1280.0000000,59955
SBER,D,20000707,000000,1338.0000000,1400.0000000,1300.0000000,1300.0500000,40410
SBER,D,20000710,000000,1328.9000000,1440.0000000,1328.5000000,1385.5000000,37441
SBER,D,20000711,000000,1361.0100000,1399.0000000,1260.0000000,1347.0000000,32245
SBER,D,20000712,000000,1340.0000000,1389.0000000,1320.0000000,1380.0000000,24965
SBER,D,20000713,000000,1400.0000000,1415.0000000,1341.0000000,1350.0000000,28434
SBER,D,20000714,000000,1360.0000000,1367.0000000,1305.0000000,1351.0000000,15761
SBER,D,20000717,000000,1333.0000000,1372.0000000,1333.0000000,1352.0000000,8732
SBER,D,20000718,000000,1341.1700000,1352.5000000,1327.0000000,1335.0000000,7134
SBER,D,20000719,000000,1340.0000000,1345.4900000,1282.0000000,1296.0000000,18491
SBER,D,20000720,000000,1293.8300000,1299.9900000,1260.0000000,1284.9800000,9710
SBER,D,20000721,000000,1320.0000000,1330.0000000,1287.0000000,1295.0000000,10973
SBER,D,20000724,000000,1299.0000000,1312.0000000,1281.0000000,1308.8900000,19460
SBER,D,20000725,000000,1290.0000000,1305.0000000,1290.0000000,1291.0100000,9600
SBER,D,20000726,000000,1286.0000000,1292.0100000,1261.0500000,1289.9900000,18449
SBER,D,20000727,000000,1250.0000000,1325.0000000,1250.0000000,1308.0000000,38307
SBER,D,20000728,000000,1310.0000000,1322.0000000,1295.0000000,1312.9900000,16399
SBER,D,20000731,000000,1300.0000000,1325.0000000,1300.0000000,1310.0000000,16405
SBER,D,20000801,000000,1337.0000000,1349.9000000,1295.2100000,1314.0000000,25433
SBER,D,20000802,000000,1315.0000000,1317.5000000,1293.0000000,1300.0000000,12048
SBER,D,20000803,000000,1330.0000000,1351.0000000,1311.0100000,1330.0000000,29849
SBER,D,20000804,000000,1339.0000000,1395.0000000,1322.0000000,1374.0000000,29039
SBER,D,20000807,000000,1401.0000000,1430.0000000,1380.3100000,1387.0000000,30472
SBER,D,20000808,000000,1389.9900000,1395.0000000,1348.0100000,1393.5000000,13863
SBER,D,20000809,000000,1370.0000000,1410.0000000,1360.0000000,1410.0000000,27505
SBER,D,20000810,000000,1405.0000000,1415.0000000,1376.0000000,1380.0000000,17110
SBER,D,20000811,000000,1370.5100000,1404.0000000,1370.5100000,1385.0100000,12485
SBER,D,20000814,000000,1400.0000000,1428.0000000,1394.0000000,1426.0000000,41428
SBER,D,20000815,000000,1444.0000000,1450.0000000,1403.0000000,1415.0000000,19728
SBER,D,20000816,000000,1406.0000000,1411.9900000,1375.0500000,1385.0000000,13201
SBER,D,20000817,000000,1371.0000000,1374.0000000,1350.1000000,1355.0000000,14559
SBER,D,20000818,000000,1361.1100000,1365.0000000,1330.0000000,1330.0000000,8958
SBER,D,20000821,000000,1330.0000000,1338.9900000,1314.0000000,1338.9900000,10054
SBER,D,20000822,000000,1335.0000000,1377.9300000,1335.0000000,1375.0000000,6318
SBER,D,20000823,000000,1370.0000000,1390.0000000,1341.0000000,1341.0000000,15967
SBER,D,20000824,000000,1360.0000000,1400.0000000,1360.0000000,1399.0000000,26645
SBER,D,20000825,000000,1420.0000000,1425.0000000,1390.0000000,1400.0000000,11774
SBER,D,20000828,000000,1389.0000000,1389.0000000,1376.0000000,1380.0000000,2789
SBER,D,20000829,000000,1382.0000000,1444.0000000,1382.0000000,1439.0000000,25271
SBER,D,20000830,000000,1430.0000000,1459.0000000,1400.0000000,1414.0000000,35128
SBER,D,20000831,000000,1412.9900000,1427.0000000,1399.0000000,1403.0500000,22240
SBER,D,20000901,000000,1413.0000000,1414.9000000,1381.0000000,1381.0000000,11757
SBER,D,20000904,000000,1385.0000000,1410.0000000,1376.0000000,1405.0000000,10143
SBER,D,20000905,000000,1412.0000000,1420.0000000,1398.5000000,1400.0000000,9194
SBER,D,20000906,000000,1400.0000000,1418.0000000,1395.0600000,1401.0000000,11077
SBER,D,20000907,000000,1398.0000000,1403.9000000,1367.0000000,1367.0000000,11245
SBER,D,20000908,000000,1361.0000000,1380.0000000,1339.0000000,1349.4900000,10272
SBER,D,20000911,000000,1340.0000000,1340.0000000,1317.1000000,1330.0000000,5567
SBER,D,20000912,000000,1340.0000000,1340.0000000,1310.0000000,1310.0000000,7290
SBER,D,20000913,000000,1312.0000000,1312.0000000,1263.0100000,1278.0000000,9347
SBER,D,20000914,000000,1287.0000000,1299.0000000,1226.0000000,1290.0000000,11898
SBER,D,20000915,000000,1275.0000000,1290.0000000,1255.0000000,1278.0000000,5904
SBER,D,20000918,000000,1245.0000000,1245.0000000,1190.0000000,1194.9000000,7601
SBER,D,20000919,000000,1185.0000000,1233.0000000,1150.0100000,1220.0000000,12059
SBER,D,20000920,000000,1213.0000000,1229.0000000,1159.0000000,1159.1000000,11105
SBER,D,20000921,000000,1180.0000000,1180.0000000,1138.0000000,1160.0000000,8077
SBER,D,20000922,000000,1130.0000000,1132.0000000,1030.0000000,1067.9900000,13145
SBER,D,20000925,000000,1115.0000000,1179.0000000,1100.0000000,1161.0000000,9614
SBER,D,20000926,000000,1150.0000000,1169.9500000,1120.0000000,1123.0000000,6344
SBER,D,20000927,000000,1110.0000000,1165.0000000,1110.0000000,1140.0000000,20053
SBER,D,20000928,000000,1155.0000000,1165.0000000,1137.0000000,1145.0000000,6404
SBER,D,20000929,000000,1159.0000000,1175.0000000,1150.0100000,1153.0000000,4616
